,embryoname,embryoidx,phase,phaseidx,imagename-fullpath,fname,trainvaltest,timepoint
24,BE413-3,1,tSB,12,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN307.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN307.jpeg,train,12
25,BE413-3,1,tB,13,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN327.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN327.jpeg,train,13
26,BE413-3,1,tEB,14,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN333.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN333.jpeg,train,14
27,AA83-7,2,tPB2,0,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN5.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN5.jpeg,train,0
28,AA83-7,2,tPNa,1,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN25.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN25.jpeg,train,1
29,AA83-7,2,tPNf,2,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN89.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN89.jpeg,train,2
30,AA83-7,2,t2,3,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN98.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN98.jpeg,train,3
31,AA83-7,2,t3,4,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN172.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN172.jpeg,train,4
32,AA83-7,2,t4,5,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN178.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN178.jpeg,train,5
33,AA83-7,2,t5,6,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN192.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN192.jpeg,train,6
34,AA83-7,2,t6,7,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN242.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN242.jpeg,train,7
35,AA83-7,2,t7,8,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN257.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN257.jpeg,train,8
36,AA83-7,2,t8,9,./data/embryo/embryo_dataset/AA83-7/D2013.01.28_S0717_I132_WELL7_RUN277.jpeg,AA83-7/D2013.01.28_S0717_I132_WELL7_RUN277.jpeg,train,9
37,BE645-10,3,tPB2,0,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN12.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN12.jpeg,test,0
38,BE645-10,3,tPNa,1,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN40.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN40.jpeg,test,1
39,BE645-10,3,tPNf,2,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN80.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN80.jpeg,test,2
40,BE645-10,3,t2,3,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN92.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN92.jpeg,test,3
41,BE645-10,3,t3,4,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN140.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN140.jpeg,test,4
42,BE645-10,3,t4,5,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN190.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN190.jpeg,test,5
43,BE645-10,3,t5,6,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN200.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN200.jpeg,test,6
44,BE645-10,3,t6,7,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN252.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN252.jpeg,test,7
45,BE645-10,3,t7,8,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN278.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN278.jpeg,test,8
46,BE645-10,3,t8,9,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN293.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN293.jpeg,test,9
47,BE645-10,3,t9+,10,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN305.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN305.jpeg,test,10
48,BE645-10,3,tM,11,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN349.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN349.jpeg,test,11
49,BE645-10,3,tSB,12,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN377.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN377.jpeg,test,12
50,BE645-10,3,tB,13,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN427.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN427.jpeg,test,13
51,BE645-10,3,tEB,14,./data/embryo/embryo_dataset/BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN431.jpeg,BE645-10/F0/D2014.08.26_S1166_I132_WELL10_RUN431.jpeg,test,14
52,AAL839-6,4,tPB2,0,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN14.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN14.jpeg,test,0
53,AAL839-6,4,tPNa,1,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN27.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN27.jpeg,test,1
54,AAL839-6,4,tPNf,2,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN107.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN107.jpeg,test,2
55,AAL839-6,4,t2,3,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN120.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN120.jpeg,test,3
56,AAL839-6,4,t4,5,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN137.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN137.jpeg,test,5
57,AAL839-6,4,t5,6,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN172.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN172.jpeg,test,6
58,AAL839-6,4,t6,7,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN187.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN187.jpeg,test,7
59,AAL839-6,4,t7,8,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN206.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN206.jpeg,test,8
60,AAL839-6,4,t9+,10,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN245.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN245.jpeg,test,10
61,AAL839-6,4,tM,11,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN432.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN432.jpeg,test,11
62,AAL839-6,4,tSB,12,./data/embryo/embryo_dataset/AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN493.jpeg,AAL839-6/D2013.09.12_S0900_I132_WELL6_RUN493.jpeg,test,12
63,BE645-7,5,tPB2,0,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN14.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN14.jpeg,val,0
64,BE645-7,5,tPNa,1,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN40.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN40.jpeg,val,1
65,BE645-7,5,tPNf,2,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN108.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN108.jpeg,val,2
66,BE645-7,5,t2,3,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN116.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN116.jpeg,val,3
67,BE645-7,5,t4,5,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN162.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN162.jpeg,val,5
68,BE645-7,5,t5,6,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN208.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN208.jpeg,val,6
69,BE645-7,5,t6,7,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN212.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN212.jpeg,val,7
70,BE645-7,5,t7,8,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN228.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN228.jpeg,val,8
71,BE645-7,5,t8,9,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN238.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN238.jpeg,val,9
72,BE645-7,5,t9+,10,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN295.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN295.jpeg,val,10
73,BE645-7,5,tM,11,./data/embryo/embryo_dataset/BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN371.jpeg,BE645-7/F0/D2014.08.26_S1166_I132_WELL7_RUN371.jpeg,val,11
74,AB028-6,6,tPB2,0,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN16.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN16.jpeg,train,0
75,AB028-6,6,tPNa,1,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN34.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN34.jpeg,train,1
76,AB028-6,6,tPNf,2,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN118.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN118.jpeg,train,2
77,AB028-6,6,t2,3,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN128.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN128.jpeg,train,3
78,AB028-6,6,t4,5,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN178.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN178.jpeg,train,5
79,AB028-6,6,t5,6,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN238.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN238.jpeg,train,6
80,AB028-6,6,t6,7,./data/embryo/embryo_dataset/AB028-6/D2014.01.20_S0991_I132_WELL6_RUN246.jpeg,AB028-6/D2014.01.20_S0991_I132_WELL6_RUN246.jpeg,train,7
81,BE645-3,7,tPB2,0,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN9.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN9.jpeg,val,0
82,BE645-3,7,tPNa,1,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN42.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN42.jpeg,val,1
83,BE645-3,7,tPNf,2,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN95.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN95.jpeg,val,2
84,BE645-3,7,t2,3,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN105.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN105.jpeg,val,3
85,BE645-3,7,t4,5,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN151.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN151.jpeg,val,5
86,BE645-3,7,t5,6,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN196.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN196.jpeg,val,6
87,BE645-3,7,t6,7,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN200.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN200.jpeg,val,7
88,BE645-3,7,t9+,10,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN312.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN312.jpeg,val,10
89,BE645-3,7,tM,11,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN381.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN381.jpeg,val,11
90,BE645-3,7,tSB,12,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN429.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN429.jpeg,val,12
91,BE645-3,7,tB,13,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN523.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN523.jpeg,val,13
92,BE645-3,7,tEB,14,./data/embryo/embryo_dataset/BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN525.jpeg,BE645-3/F0/D2014.08.26_S1166_I132_WELL3_RUN525.jpeg,val,14
93,AB91-1,8,tPB2,0,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN12.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN12.jpeg,train,0
94,AB91-1,8,tPNa,1,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN22.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN22.jpeg,train,1
95,AB91-1,8,t2,3,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN107.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN107.jpeg,train,3
96,AB91-1,8,t3,4,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN149.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN149.jpeg,train,4
97,AB91-1,8,t4,5,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN151.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN151.jpeg,train,5
98,AB91-1,8,t5,6,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN194.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN194.jpeg,train,6
99,AB91-1,8,t6,7,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN198.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN198.jpeg,train,7
100,AB91-1,8,t7,8,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN200.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN200.jpeg,train,8
101,AB91-1,8,t8,9,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN204.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN204.jpeg,train,9
102,AB91-1,8,t9+,10,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN266.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN266.jpeg,train,10
103,AB91-1,8,tM,11,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN353.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN353.jpeg,train,11
104,AB91-1,8,tSB,12,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN361.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN361.jpeg,train,12
105,AB91-1,8,tB,13,./data/embryo/embryo_dataset/AB91-1/D2013.01.29_S0719_I132_WELL1_RUN371.jpeg,AB91-1/D2013.01.29_S0719_I132_WELL1_RUN371.jpeg,train,13
106,BE735-2,9,tPB2,0,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN6.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN6.jpeg,val,0
107,BE735-2,9,tPNa,1,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN17.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN17.jpeg,val,1
108,BE735-2,9,tPNf,2,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN79.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN79.jpeg,val,2
109,BE735-2,9,t2,3,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN88.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN88.jpeg,val,3
110,BE735-2,9,t4,5,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN124.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN124.jpeg,val,5
111,BE735-2,9,t6,7,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN165.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN165.jpeg,val,7
112,BE735-2,9,t8,9,./data/embryo/embryo_dataset/BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN169.jpeg,BE735-2/F0/D2011.09.19_S0219_I132_WELL2_RUN169.jpeg,val,9
113,AC264-1,10,tPB2,0,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN3.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN3.jpeg,val,0
114,AC264-1,10,tPNa,1,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN13.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN13.jpeg,val,1
115,AC264-1,10,tPNf,2,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN73.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN73.jpeg,val,2
116,AC264-1,10,t2,3,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN82.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN82.jpeg,val,3
117,AC264-1,10,t3,4,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN116.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN116.jpeg,val,4
118,AC264-1,10,t4,5,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN118.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN118.jpeg,val,5
119,AC264-1,10,t5,6,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN160.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN160.jpeg,val,6
120,AC264-1,10,t7,8,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN163.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN163.jpeg,val,8
121,AC264-1,10,t9+,10,./data/embryo/embryo_dataset/AC264-1/D2011.03.28_S0079_I132_WELL1_RUN167.jpeg,AC264-1/D2011.03.28_S0079_I132_WELL1_RUN167.jpeg,val,10
122,BE327-2,11,tPNa,1,./data/embryo/embryo_dataset/BE327-2/D2014.04.10_S1067_I132_WELL2_RUN47.jpeg,BE327-2/D2014.04.10_S1067_I132_WELL2_RUN47.jpeg,train,0
123,BE327-2,11,tPNf,2,./data/embryo/embryo_dataset/BE327-2/D2014.04.10_S1067_I132_WELL2_RUN100.jpeg,BE327-2/D2014.04.10_S1067_I132_WELL2_RUN100.jpeg,train,1
124,BE327-2,11,t2,3,./data/embryo/embryo_dataset/BE327-2/D2014.04.10_S1067_I132_WELL2_RUN112.jpeg,BE327-2/D2014.04.10_S1067_I132_WELL2_RUN112.jpeg,train,2
125,BE327-2,11,t4,5,./data/embryo/embryo_dataset/BE327-2/D2014.04.10_S1067_I132_WELL2_RUN156.jpeg,BE327-2/D2014.04.10_S1067_I132_WELL2_RUN156.jpeg,train,4
