,Unnamed: 0,tau,alpha,t,path,id,timepoint,trainvaltest,t_star
20,20,1.210913,0.908757,-4.09,images/SimulatedData__Reconstruction__starman__subject_s2__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0,train,-4.817241795140999
21,21,1.210913,0.908757,-3.12,images/SimulatedData__Reconstruction__starman__subject_s2__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,train,-3.935747505141
22,22,1.210913,0.908757,-2.14,images/SimulatedData__Reconstruction__starman__subject_s2__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,train,-3.0451656451410005
23,23,1.210913,0.908757,-1.16,images/SimulatedData__Reconstruction__starman__subject_s2__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",3.0,train,-2.154583785141
24,24,1.210913,0.908757,-0.18,images/SimulatedData__Reconstruction__starman__subject_s2__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",4.0,train,-1.264001925141
25,25,1.210913,0.908757,0.79,images/SimulatedData__Reconstruction__starman__subject_s2__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",5.0,train,-0.3825076351409999
26,26,1.210913,0.908757,1.77,images/SimulatedData__Reconstruction__starman__subject_s2__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",6.0,train,0.5080742248590001
27,27,1.210913,0.908757,2.75,images/SimulatedData__Reconstruction__starman__subject_s2__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",7.0,train,1.3986560848590002
28,28,1.210913,0.908757,3.72,images/SimulatedData__Reconstruction__starman__subject_s2__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",8.0,train,2.280150374859
29,29,1.210913,0.908757,4.7,images/SimulatedData__Reconstruction__starman__subject_s2__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s2__tp_0__age_-4.09.vtk', 2, 2, 2, 2, 2, 2, 2, 2, 2]",9.0,train,3.170732234859001
30,30,2.292805,1.136969,-2.55,images/SimulatedData__Reconstruction__starman__subject_s3__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",0.0,train,-5.506119158045
31,31,2.292805,1.136969,-1.58,images/SimulatedData__Reconstruction__starman__subject_s3__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,train,-4.403259228045
32,32,2.292805,1.136969,-0.62,images/SimulatedData__Reconstruction__starman__subject_s3__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",2.0,train,-3.311768988045
33,33,2.292805,1.136969,0.34,images/SimulatedData__Reconstruction__starman__subject_s3__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,train,-2.2202787480449997
34,34,2.292805,1.136969,1.3,images/SimulatedData__Reconstruction__starman__subject_s3__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.0,train,-1.1287885080449997
35,35,2.292805,1.136969,2.26,images/SimulatedData__Reconstruction__starman__subject_s3__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.0,train,-0.03729826804500022
36,36,2.292805,1.136969,3.22,images/SimulatedData__Reconstruction__starman__subject_s3__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",6.0,train,1.0541919719550001
37,37,2.292805,1.136969,4.19,images/SimulatedData__Reconstruction__starman__subject_s3__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",7.0,train,2.157051901955
38,38,2.292805,1.136969,5.15,images/SimulatedData__Reconstruction__starman__subject_s3__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",8.0,train,3.2485421419550002
39,39,2.292805,1.136969,6.11,images/SimulatedData__Reconstruction__starman__subject_s3__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]",9.0,train,4.340032381955
40,40,-0.977405,1.002083,-2.35,images/SimulatedData__Reconstruction__starman__subject_s4__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.0,train,-1.3754541153850002
41,41,-0.977405,1.002083,-1.37,images/SimulatedData__Reconstruction__starman__subject_s4__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,train,-0.39341277538500014
42,42,-0.977405,1.002083,-0.38,images/SimulatedData__Reconstruction__starman__subject_s4__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",2.0,train,0.598649394615
43,43,-0.977405,1.002083,0.61,images/SimulatedData__Reconstruction__starman__subject_s4__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",3.0,train,1.590711564615
44,44,-0.977405,1.002083,1.59,images/SimulatedData__Reconstruction__starman__subject_s4__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,train,2.572752904615
45,45,-0.977405,1.002083,2.58,images/SimulatedData__Reconstruction__starman__subject_s4__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",5.0,train,3.5648150746150002
46,46,-0.977405,1.002083,3.56,images/SimulatedData__Reconstruction__starman__subject_s4__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",6.0,train,4.546856414615
47,47,-0.977405,1.002083,4.55,images/SimulatedData__Reconstruction__starman__subject_s4__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",7.0,train,5.538918584615001
48,48,-0.977405,1.002083,5.53,images/SimulatedData__Reconstruction__starman__subject_s4__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",8.0,train,6.520959924615001
49,49,-0.977405,1.002083,6.52,images/SimulatedData__Reconstruction__starman__subject_s4__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]",9.0,train,7.513022094615
50,50,-1.941504,0.949275,-6.89,images/SimulatedData__Reconstruction__starman__subject_s5__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",0.0,train,-4.6974835403999995
51,51,-1.941504,0.949275,-5.7,images/SimulatedData__Reconstruction__starman__subject_s5__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,train,-3.5678462904
52,52,-1.941504,0.949275,-4.5,images/SimulatedData__Reconstruction__starman__subject_s5__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",2.0,train,-2.4287162903999997
53,53,-1.941504,0.949275,-3.31,images/SimulatedData__Reconstruction__starman__subject_s5__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",3.0,train,-1.2990790404
54,54,-1.941504,0.949275,-2.11,images/SimulatedData__Reconstruction__starman__subject_s5__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",4.0,train,-0.15994904039999996
55,55,-1.941504,0.949275,-0.92,images/SimulatedData__Reconstruction__starman__subject_s5__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,train,0.9696882095999997
56,56,-1.941504,0.949275,0.28,images/SimulatedData__Reconstruction__starman__subject_s5__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",6.0,train,2.1088182096
57,57,-1.941504,0.949275,1.47,images/SimulatedData__Reconstruction__starman__subject_s5__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",7.0,train,3.2384554596
58,58,-1.941504,0.949275,2.67,images/SimulatedData__Reconstruction__starman__subject_s5__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",8.0,train,4.3775854596
59,59,-1.941504,0.949275,3.86,images/SimulatedData__Reconstruction__starman__subject_s5__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]",9.0,train,5.5072227096
60,60,-0.543077,1.366659,-3.95,images/SimulatedData__Reconstruction__starman__subject_s6__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",0.0,train,-4.6561019802570005
61,61,-0.543077,1.366659,-3.05,images/SimulatedData__Reconstruction__starman__subject_s6__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,train,-3.4261088802569994
62,62,-0.543077,1.366659,-2.16,images/SimulatedData__Reconstruction__starman__subject_s6__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",2.0,train,-2.2097823702570003
63,63,-0.543077,1.366659,-1.26,images/SimulatedData__Reconstruction__starman__subject_s6__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",3.0,train,-0.979789270257
64,64,-0.543077,1.366659,-0.36,images/SimulatedData__Reconstruction__starman__subject_s6__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",4.0,train,0.2502038297430001
65,65,-0.543077,1.366659,0.54,images/SimulatedData__Reconstruction__starman__subject_s6__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",5.0,train,1.4801969297430002
66,66,-0.543077,1.366659,1.44,images/SimulatedData__Reconstruction__starman__subject_s6__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",6.0,train,2.710190029743
67,67,-0.543077,1.366659,2.34,images/SimulatedData__Reconstruction__starman__subject_s6__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",7.0,train,3.9401831297430006
68,68,-0.543077,1.366659,3.24,images/SimulatedData__Reconstruction__starman__subject_s6__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",8.0,train,5.170176229743001
69,69,-0.543077,1.366659,4.14,images/SimulatedData__Reconstruction__starman__subject_s6__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]",9.0,train,6.400169329743
70,70,0.394938,0.8789440000000001,-4.5,images/SimulatedData__Reconstruction__starman__subject_s7__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.0,train,-4.302376385472
71,71,0.394938,0.8789440000000001,-3.19,images/SimulatedData__Reconstruction__starman__subject_s7__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,train,-3.1509597454720004
72,72,0.394938,0.8789440000000001,-1.88,images/SimulatedData__Reconstruction__starman__subject_s7__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",2.0,train,-1.9995431054719999
73,73,0.394938,0.8789440000000001,-0.58,images/SimulatedData__Reconstruction__starman__subject_s7__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",3.0,train,-0.856915905472
74,74,0.394938,0.8789440000000001,0.73,images/SimulatedData__Reconstruction__starman__subject_s7__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",4.0,train,0.294500734528
75,75,0.394938,0.8789440000000001,2.04,images/SimulatedData__Reconstruction__starman__subject_s7__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",5.0,train,1.445917374528
76,76,0.394938,0.8789440000000001,3.35,images/SimulatedData__Reconstruction__starman__subject_s7__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",6.0,train,2.597334014528
77,77,0.394938,0.8789440000000001,4.66,images/SimulatedData__Reconstruction__starman__subject_s7__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",7.0,train,3.7487506545280005
78,78,0.394938,0.8789440000000001,5.96,images/SimulatedData__Reconstruction__starman__subject_s7__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",8.0,train,4.891377854528001
79,79,0.394938,0.8789440000000001,7.27,images/SimulatedData__Reconstruction__starman__subject_s7__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]",9.0,train,6.0427944945280005
80,80,1.772963,0.856016,-1.1,images/SimulatedData__Reconstruction__starman__subject_s8__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",0.0,train,-2.4593022954080004
81,81,1.772963,0.856016,-0.17,images/SimulatedData__Reconstruction__starman__subject_s8__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,train,-1.663207415408
82,82,1.772963,0.856016,0.76,images/SimulatedData__Reconstruction__starman__subject_s8__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",2.0,train,-0.867112535408
83,83,1.772963,0.856016,1.68,images/SimulatedData__Reconstruction__starman__subject_s8__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",3.0,train,-0.07957781540800012
84,84,1.772963,0.856016,2.61,images/SimulatedData__Reconstruction__starman__subject_s8__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",4.0,train,0.7165170645919998
85,85,1.772963,0.856016,3.54,images/SimulatedData__Reconstruction__starman__subject_s8__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",5.0,train,1.5126119445919999
86,86,1.772963,0.856016,4.47,images/SimulatedData__Reconstruction__starman__subject_s8__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",6.0,train,2.308706824592
87,87,1.772963,0.856016,5.4,images/SimulatedData__Reconstruction__starman__subject_s8__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",7.0,train,3.1048017045920004
88,88,1.772963,0.856016,6.33,images/SimulatedData__Reconstruction__starman__subject_s8__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",8.0,train,3.900896584592
89,89,1.772963,0.856016,7.26,images/SimulatedData__Reconstruction__starman__subject_s8__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]",9.0,train,4.696991464592
90,90,-3.105919,1.151431,-4.94,images/SimulatedData__Reconstruction__starman__subject_s9__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",0.0,train,-2.1118177199110004
91,91,-3.105919,1.151431,-3.95,images/SimulatedData__Reconstruction__starman__subject_s9__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,train,-0.9719010299110001
92,92,-3.105919,1.151431,-2.95,images/SimulatedData__Reconstruction__starman__subject_s9__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",2.0,train,0.17952997008899993
93,93,-3.105919,1.151431,-1.95,images/SimulatedData__Reconstruction__starman__subject_s9__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",3.0,train,1.3309609700890002
94,94,-3.105919,1.151431,-0.95,images/SimulatedData__Reconstruction__starman__subject_s9__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",4.0,train,2.482391970089
95,95,-3.105919,1.151431,0.04,images/SimulatedData__Reconstruction__starman__subject_s9__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",5.0,train,3.6223086600890007
96,96,-3.105919,1.151431,1.04,images/SimulatedData__Reconstruction__starman__subject_s9__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",6.0,train,4.773739660089
97,97,-3.105919,1.151431,2.04,images/SimulatedData__Reconstruction__starman__subject_s9__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",7.0,train,5.925170660089001
98,98,-3.105919,1.151431,3.04,images/SimulatedData__Reconstruction__starman__subject_s9__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",8.0,train,7.0766016600890005
99,99,-3.105919,1.151431,4.03,images/SimulatedData__Reconstruction__starman__subject_s9__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s9__tp_0__age_-4.94.vtk', 9, 9, 9, 9, 9, 9, 9, 9, 9]",9.0,train,8.216518350089
100,100,1.6848040000000002,1.017443,-2.74,images/SimulatedData__Reconstruction__starman__subject_s10__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s10__tp_0__age_-2.74.vtk', 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.0,train,-4.501985856172
101,101,1.6848040000000002,1.017443,-1.63,images/SimulatedData__Reconstruction__starman__subject_s10__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s10__tp_0__age_-2.74.vtk', 10, 10, 10, 10, 10, 10, 10, 10, 10]",1.0,train,-3.3726241261720005
